,state_string,a_value_0,a_value_1,a_value_2,a_value_3,a_value_4,a_value_5,a_value_6,a_value_7,a_value_8
30,010100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,110100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,210100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,020100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,120100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,220100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,001100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,101100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,201100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,011100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,111100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,211100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,021100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,121100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,221100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,002100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,102100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,202100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,012100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,112100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,212100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,022100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,122100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,222100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,000200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,100200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,200200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,010200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,110200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,210200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,020200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,120200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,220200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,001200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,101200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,201200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,011200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,111200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,211200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,021200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,121200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,221200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
