,model_action,best_action_t_plus_1,mean_price
549,H,B,0.932
550,H,B,0.932
551,H,B,0.932
552,H,B,0.937
553,H,B,0.937
554,H,S,0.9359999999999999
555,H,S,0.935
556,H,B,0.935
557,H,S,0.934
558,H,B,0.934
559,H,B,0.935
560,H,S,0.934
561,H,S,0.93
562,H,B,0.932
563,H,B,0.9329999999999999
564,H,B,0.9329999999999999
565,H,B,0.937
566,H,S,0.935
567,H,B,0.9359999999999999
568,H,B,0.9359999999999999
569,H,S,0.935
570,H,B,0.9359999999999999
571,H,B,0.9359999999999999
572,H,B,0.9359999999999999
573,H,B,0.9359999999999999
574,H,B,0.9359999999999999
575,H,B,0.9359999999999999
576,H,B,0.937
577,H,B,0.937
578,H,S,0.935
579,H,B,0.9359999999999999
580,H,B,0.937
581,H,B,0.9440000000000001
582,H,S,0.943
583,H,B,0.9440000000000001
584,H,S,0.943
585,H,B,0.943
586,H,B,0.945
587,H,B,0.9470000000000001
588,H,B,0.9490000000000001
589,H,B,0.972
590,H,B,0.981
591,H,B,0.992
592,H,S,0.983
593,H,S,0.9790000000000001
594,H,S,0.977
595,H,S,0.975
596,H,S,0.9690000000000001
597,H,S,0.968
598,H,S,0.965
599,H,B,0.9690000000000001
600,H,B,0.9690000000000001
601,H,B,0.9690000000000001
602,H,S,0.968
603,H,S,0.966
604,H,S,0.963
605,H,B,0.9640000000000001
606,H,B,0.9670000000000001
607,H,B,0.9670000000000001
608,H,B,0.968
609,H,B,0.968
610,H,S,0.9670000000000001
611,H,B,0.968
612,H,B,0.97
613,H,S,0.9690000000000001
614,H,B,0.97
615,H,B,0.976
616,H,S,0.9740000000000001
617,H,B,0.975
618,H,B,0.976
619,H,B,0.976
620,H,B,0.977
621,H,B,0.978
622,H,S,0.977
623,H,S,0.975
624,H,B,0.975
625,H,B,0.975
626,H,B,0.976
627,H,B,0.976
628,H,B,0.977
629,H,S,0.976
630,H,B,0.981
631,H,B,0.986
632,H,S,0.983
633,H,B,0.9840000000000001
634,H,S,0.983
635,H,B,0.9840000000000001
636,H,B,0.9840000000000001
637,H,B,0.985
638,H,B,0.985
639,H,B,0.986
640,H,B,0.9890000000000001
641,H,B,0.9890000000000001
642,H,S,0.987
643,H,S,0.986
644,H,S,0.985
645,H,S,0.9329999999999999
646,H,S,0.9279999999999999
647,H,S,0.919
648,H,B,0.9229999999999999
649,H,B,0.925
650,H,S,0.9229999999999999
651,H,S,0.9209999999999999
652,H,B,0.9209999999999999
653,H,B,0.9229999999999999
654,H,B,0.9229999999999999
655,H,B,0.927
656,H,B,0.929
657,H,B,0.929
658,H,S,0.9279999999999999
659,H,S,0.927
660,H,B,0.927
661,H,B,0.929
662,H,B,0.929
663,H,S,0.927
664,H,S,0.9259999999999999
665,H,B,0.927
666,H,B,0.9279999999999999
667,H,B,0.929
668,H,B,0.929
669,H,B,0.929
670,H,B,0.929
671,H,B,0.929
672,H,S,0.9279999999999999
673,H,S,0.9259999999999999
674,H,S,0.924
675,H,B,0.9259999999999999
676,H,B,0.927
677,H,S,0.9259999999999999
678,H,B,0.927
679,H,S,0.9259999999999999
680,H,S,0.925
681,H,B,0.925
682,H,S,0.924
683,H,B,0.924
684,H,B,0.925
685,H,S,0.924
686,H,B,0.925
687,H,B,0.925
688,H,S,0.9229999999999999
689,H,B,0.9229999999999999
690,H,S,0.922
691,H,B,0.922
692,H,B,0.924
693,H,B,0.925
694,H,S,0.924
695,H,S,0.9229999999999999
696,H,S,0.919
697,H,B,0.924
698,H,B,0.9259999999999999
699,H,B,0.9259999999999999
700,H,S,0.925
701,H,B,0.9259999999999999
702,H,S,0.924
703,H,B,0.924
704,H,B,0.925
705,H,B,0.925
706,H,B,0.927
707,H,S,0.9259999999999999
708,H,S,0.925
709,H,B,0.925
710,H,B,0.9259999999999999
711,H,B,0.9259999999999999
712,H,B,0.927
713,H,B,0.9309999999999999
714,H,B,0.932
715,H,B,0.932
716,H,B,0.9329999999999999
717,H,S,0.932
718,H,B,0.9329999999999999
719,H,B,0.935
720,H,B,0.935
721,H,S,0.9329999999999999
722,H,S,0.932
723,H,B,0.934
724,H,S,0.932
725,H,B,0.932
726,H,S,0.9309999999999999
727,H,S,0.9259999999999999
728,H,B,0.927
729,H,B,0.927
730,H,B,0.929
731,H,B,0.929
732,H,S,0.927
733,H,S,0.925
734,H,B,0.9259999999999999
735,H,B,0.9279999999999999
736,H,S,0.927
737,H,B,0.9279999999999999
738,H,B,0.9279999999999999
739,H,B,0.9279999999999999
740,H,B,0.9279999999999999
741,H,S,0.9259999999999999
742,H,B,0.927
743,H,B,0.93
744,H,B,0.9309999999999999
745,H,B,0.9309999999999999
746,H,S,0.9279999999999999
747,H,S,0.927
748,H,B,0.9279999999999999
749,H,S,0.927
750,H,B,0.927
751,H,B,0.9279999999999999
752,H,B,0.9279999999999999
753,H,B,0.9279999999999999
754,H,B,0.9279999999999999
755,H,B,0.9279999999999999
756,H,S,0.927
757,H,B,0.929
758,H,B,0.9309999999999999
759,H,S,0.93
760,H,B,0.9309999999999999
761,H,B,0.935
762,H,S,0.934
763,H,S,0.9329999999999999
764,H,B,0.934
765,H,B,0.934
766,H,B,0.935
767,H,B,0.9359999999999999
768,H,S,0.935
769,H,B,0.935
770,H,B,0.937
771,H,B,0.937
772,H,B,0.938
773,H,S,0.937
774,H,B,0.938
775,H,B,0.938
776,H,S,0.937
777,H,B,0.937
778,H,S,0.935
779,H,S,0.934
780,H,B,0.935
781,H,B,0.935
782,H,S,0.934
783,H,B,0.934
784,H,B,0.934
785,H,B,0.9359999999999999
786,H,B,0.9359999999999999
787,H,B,0.937
788,H,B,0.938
789,H,S,0.937
790,H,S,0.9359999999999999
791,H,B,0.9359999999999999
792,H,B,0.9359999999999999
793,H,B,0.9359999999999999
794,H,B,0.9359999999999999
795,H,S,0.9279999999999999
796,H,B,0.9279999999999999
797,H,B,0.9279999999999999
798,H,S,0.925
799,H,B,0.927
800,H,B,0.9279999999999999
801,H,B,0.9279999999999999
802,H,S,0.925
803,H,B,0.932
804,H,S,0.93
805,H,B,0.9329999999999999
806,H,B,0.934
807,H,B,0.935
808,H,B,0.935
809,H,B,0.94
810,H,B,0.9420000000000001
811,H,B,0.9420000000000001
812,H,S,0.941
813,H,S,0.937
814,H,S,0.9359999999999999
815,H,S,0.935
816,H,B,0.937
817,H,B,0.9390000000000001
818,H,B,0.94
819,H,B,0.941
820,H,B,0.941
821,H,S,0.94
822,H,B,0.94
823,H,B,0.94
824,H,B,0.941
825,H,B,0.9440000000000001
826,H,B,0.945
827,H,S,0.9420000000000001
828,H,B,0.943
829,H,S,0.9390000000000001
830,H,B,0.94
831,H,B,0.9420000000000001
832,H,B,0.943
833,H,S,0.9420000000000001
834,H,S,0.94
835,H,S,0.9390000000000001
836,H,B,0.9390000000000001
837,H,S,0.938
838,H,S,0.937
839,H,B,0.9390000000000001
840,H,B,0.9390000000000001
841,H,B,0.9390000000000001
842,H,B,0.943
843,H,B,0.943
844,H,B,0.943
845,H,B,0.943
846,H,S,0.941
847,H,S,0.94
848,H,S,0.9390000000000001
849,H,B,0.941
850,H,B,0.943
851,H,B,0.943
852,H,B,0.943
853,H,B,0.9440000000000001
854,H,B,0.9440000000000001
855,H,S,0.9420000000000001
856,H,B,0.9420000000000001
857,H,B,0.943
858,H,B,0.943
859,H,S,0.94
860,H,B,0.94
861,H,B,0.943
862,H,S,0.941
863,H,S,0.938
