,model_action,best_action_t_plus_1,mean_price,original_price
1455,H,B,0.9159999999999999,8421.966
1456,H,H,0.915,8418.294
1457,H,B,0.9159999999999999,8423.864
1458,H,H,0.915,8419.482
1459,H,H,0.914,8409.444
1460,H,B,0.914,8404.69
1461,H,B,0.915,8416.181
1462,H,B,0.9159999999999999,8422.55
1463,H,H,0.912,8388.726999999999
1464,H,H,0.9079999999999999,8355.016
1465,H,B,0.909,8364.178
1466,H,B,0.91,8374.225
1467,H,B,0.912,8386.269
1468,H,H,0.9109999999999999,8383.549
1469,H,H,0.91,8374.657
1470,H,B,0.9109999999999999,8380.315999999999
1471,H,H,0.91,8376.792
1472,H,B,0.914,8411.14
1473,H,B,0.914,8410.999
1474,H,H,0.912,8388.424
1475,H,B,0.9129999999999999,8398.447
1476,H,B,0.915,8416.24
1477,H,B,0.915,8418.806
1478,H,B,0.9159999999999999,8432.319
1479,H,B,0.9159999999999999,8426.393
1480,H,H,0.914,8405.833
1481,H,B,0.915,8420.769
1482,H,B,0.9159999999999999,8423.015
1483,H,H,0.915,8415.594000000001
1484,H,B,0.9159999999999999,8424.93
1485,H,B,0.9179999999999999,8446.732
1486,H,B,0.9209999999999999,8468.247
1487,H,H,0.9179999999999999,8447.318000000001
1488,H,B,0.919,8453.756
1489,H,B,0.92,8466.433
1490,H,B,0.92,8460.052
1491,H,H,0.9179999999999999,8448.456
1492,H,H,0.9159999999999999,8421.934000000001
1493,H,H,0.914,8406.014000000001
1494,H,B,0.914,8411.565
1495,H,B,0.914,8409.246
1496,H,H,0.9129999999999999,8402.769
1497,H,B,0.914,8408.708
1498,H,B,0.917,8435.077
1499,H,B,0.917,8436.643
1500,H,B,0.917,8437.313
1501,H,H,0.9159999999999999,8431.169
1502,H,H,0.915,8418.284
1503,H,H,0.914,8412.423
1504,H,B,0.9159999999999999,8422.677
1505,H,B,0.917,8439.655
1506,H,B,0.917,8432.09
1507,H,H,0.9159999999999999,8427.896999999999
1508,H,B,0.9159999999999999,8430.461
1509,H,B,0.917,8440.308
1510,H,B,0.9179999999999999,8442.25
1511,H,B,0.9179999999999999,8440.095
1512,H,H,0.9159999999999999,8430.065
1513,H,B,0.917,8435.03
1514,H,B,0.917,8437.09
1515,H,B,0.919,8451.002
1516,H,B,0.92,8461.109
1517,H,H,0.9179999999999999,8447.161
1518,H,B,0.9179999999999999,8441.871
1519,H,B,0.9179999999999999,8444.896
1520,H,B,0.92,8460.344000000001
1521,H,H,0.919,8457.221
1522,H,B,0.919,8451.548
1523,H,B,0.919,8454.405999999999
1524,H,B,0.919,8459.775
1525,H,B,0.919,8453.295
1526,H,H,0.917,8434.681
1527,H,H,0.9159999999999999,8423.527
1528,H,H,0.915,8414.812
1529,H,B,0.915,8415.758
1530,H,H,0.914,8407.003
1531,H,H,0.9129999999999999,8400.001
1532,H,B,0.914,8411.956
1533,H,B,0.914,8410.121
1534,H,H,0.912,8389.948
1535,H,H,0.9109999999999999,8379.696
1536,H,B,0.912,8385.48
1537,H,B,0.9129999999999999,8395.591999999999
1538,H,B,0.9129999999999999,8401.384
1539,H,B,0.9129999999999999,8398.778
1540,H,B,0.9129999999999999,8398.271
1541,H,B,0.914,8404.635
1542,H,H,0.9129999999999999,8403.914
1543,H,B,0.9129999999999999,8403.886999999999
1544,H,H,0.912,8386.519
1545,H,H,0.9109999999999999,8381.085
1546,H,B,0.9109999999999999,8384.329
1547,H,B,0.9129999999999999,8394.825
1548,H,B,0.914,8410.596
1549,H,B,0.914,8405.358
1550,H,B,0.914,8408.171
1551,H,B,0.914,8411.993
1552,H,B,0.917,8435.645
1553,H,B,0.917,8438.054
1554,H,B,0.9179999999999999,8441.499
1555,H,B,0.9179999999999999,8440.358
1556,H,B,0.9179999999999999,8442.5
1557,H,B,0.9179999999999999,8442.689
1558,H,B,0.9179999999999999,8449.378
1559,H,B,0.9179999999999999,8449.723
1560,H,B,0.9179999999999999,8450.713
1561,H,B,0.92,8457.937
1562,H,H,0.9179999999999999,8443.97
1563,H,B,0.9179999999999999,8445.143
1564,H,B,0.9179999999999999,8441.606
1565,H,B,0.919,8452.546999999999
1566,H,H,0.9179999999999999,8445.48
1567,H,B,0.919,8453.966999999999
1568,H,B,0.92,8460.556
1569,H,B,0.92,8463.673
1570,H,B,0.92,8462.133
1571,H,B,0.92,8461.884
1572,H,H,0.9159999999999999,8432.059000000001
1573,H,B,0.917,8433.598
1574,H,H,0.915,8420.257
1575,H,B,0.915,8413.226
1576,H,H,0.9109999999999999,8383.653
1577,H,B,0.912,8391.83
1578,H,B,0.9129999999999999,8400.798
1579,H,B,0.9129999999999999,8398.751
1580,H,H,0.912,8391.201
1581,H,B,0.912,8386.853000000001
1582,H,H,0.91,8371.8
1583,H,H,0.909,8358.729
1584,H,H,0.907,8348.448
1585,H,B,0.91,8371.065
1586,H,B,0.9109999999999999,8378.32
1587,H,B,0.912,8386.396
1588,H,H,0.91,8374.064
1589,H,B,0.91,8373.651
1590,H,B,0.9109999999999999,8379.911
1591,H,B,0.9109999999999999,8383.582
1592,H,H,0.91,8372.771999999999
1593,H,H,0.909,8365.875
1594,H,H,0.9079999999999999,8352.052
1595,H,H,0.9009999999999999,8286.224
1596,H,B,0.904,8319.966999999999
1597,H,B,0.9059999999999999,8335.556
1598,H,B,0.9079999999999999,8350.838
1599,H,B,0.909,8366.453000000001
1600,H,B,0.9109999999999999,8380.565999999999
1601,H,B,0.9109999999999999,8381.777
1602,H,H,0.91,8371.944
1603,H,B,0.91,8374.504
1604,H,B,0.912,8388.322
1605,H,B,0.9129999999999999,8397.584
1606,H,B,0.9129999999999999,8398.496
1607,H,B,0.914,8406.269
1608,H,B,0.915,8414.799
1609,H,B,0.915,8414.644
1610,H,H,0.9129999999999999,8395.837
1611,H,H,0.9109999999999999,8378.841
1612,H,B,0.9109999999999999,8381.334
1613,H,B,0.912,8395.315
1614,H,B,0.912,8391.798
1615,H,H,0.9109999999999999,8385.203000000001
1616,H,B,0.9109999999999999,8383.014000000001
1617,H,H,0.91,8373.497
1618,H,B,0.91,8375.802
1619,H,B,0.9109999999999999,8376.456
1620,H,H,0.909,8367.372
1621,H,B,0.91,8374.806
1622,H,B,0.9109999999999999,8376.357
1623,H,B,0.9109999999999999,8381.068000000001
1624,H,B,0.9109999999999999,8377.440999999999
1625,H,H,0.91,8370.482
1626,H,B,0.91,8370.947
1627,H,H,0.909,8359.014000000001
1628,H,B,0.909,8363.259
1629,H,B,0.9109999999999999,8377.623
1630,H,B,0.9109999999999999,8383.304
1631,H,B,0.9109999999999999,8376.76
1632,H,B,0.9109999999999999,8378.133
1633,H,B,0.912,8390.014000000001
1634,H,B,0.912,8392.686
1635,H,B,0.9129999999999999,8399.046
1636,H,B,0.9129999999999999,8401.823
1637,H,B,0.9129999999999999,8396.885
1638,H,B,0.914,8411.479
1639,H,B,0.914,8404.761999999999
1640,H,H,0.912,8389.858
1641,H,B,0.912,8390.29
1642,H,H,0.9109999999999999,8383.439
